17:44:32.990 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.910 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.030 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.150 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.270 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.390 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.510 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.630 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.750 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.870 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:47.990 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.110 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.230 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.350 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.470 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.590 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.830 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:48.950 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.070 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.190 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.310 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.430 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.550 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.670 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.790 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:49.910 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.030 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.150 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.270 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.390 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.510 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.630 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.750 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.870 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:50.989 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.229 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.350 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.470 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.590 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.830 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:51.950 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.070 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.190 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.310 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.430 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.550 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.670 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.789 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:52.909 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.029 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.149 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.269 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.389 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.509 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.629 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.749 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.870 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:53.989 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.109 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.230 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.349 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.470 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.590 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.829 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:54.950 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.070 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.189 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.309 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.429 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.549 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.670 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.789 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:55.909 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.029 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.149 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.269 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.389 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.509 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.629 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.750 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.870 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:56.989 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.229 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.349 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.470 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.589 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.709 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.829 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:57.949 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.069 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.189 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.309 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.429 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.549 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.669 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.789 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:58.909 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.030 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.149 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.269 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.389 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.509 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.629 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.749 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.869 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:59.989 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.229 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.349 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.469 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.593 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.709 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.829 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:00.949 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.069 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.189 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.309 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.429 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.549 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.669 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.789 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:01.909 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.029 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.149 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.270 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.389 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.509 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.629 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.749 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.869 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:02.989 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.229 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.349 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.469 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.589 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.709 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.829 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:03.949 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.069 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.189 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.309 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.429 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.549 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.669 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.789 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:04.909 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.029 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.149 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.269 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.389 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.509 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.629 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.749 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.869 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:05.989 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.109 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.230 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.349 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.469 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.589 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.709 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.829 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:06.949 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.069 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.189 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.309 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.429 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.549 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.669 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.789 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:07.909 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.029 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.149 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.269 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.389 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.509 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.629 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.749 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.869 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:08.989 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.229 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.349 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.469 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.589 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.709 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.829 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:09.949 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.069 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.189 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.309 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.429 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.549 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.669 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.789 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:10.909 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.029 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.149 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.269 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.389 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.509 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.629 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.749 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.869 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:11.989 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.109 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.229 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.349 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.469 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.589 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.709 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.829 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:12.949 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.069 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.189 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.309 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.429 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.549 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.669 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.789 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:13.909 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.029 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.149 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.269 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.389 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.509 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.629 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.749 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.869 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:14.991 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.109 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.229 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.349 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.469 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.589 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.709 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.829 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:15.949 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.069 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.189 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.309 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.429 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.549 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.669 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.789 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:16.909 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.029 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.149 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.269 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.389 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.509 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:17.629 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
