17:47:02.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.186 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.306 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.426 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:12.906 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.026 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.146 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.266 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.386 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.506 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.626 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.746 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:13.986 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.106 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.226 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:14.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.186 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.306 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.426 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.546 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:15.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.026 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.146 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.266 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.386 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.506 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.626 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.746 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:16.986 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.106 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.226 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:17.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.186 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.306 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.426 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:18.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.026 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.146 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.266 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.386 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.506 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.626 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.746 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.866 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:19.986 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.106 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.226 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.586 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.706 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.826 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:20.946 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.066 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.186 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.306 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.426 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:21.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.026 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.146 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.266 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.386 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.506 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.626 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.746 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:22.986 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.106 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.226 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.346 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.466 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.586 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.706 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.826 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:23.946 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.066 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.186 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.306 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.426 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:24.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.026 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.146 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.266 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.386 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.505 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.625 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.746 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:25.986 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.106 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.226 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.345 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.465 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.586 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.705 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.825 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:26.946 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.065 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.185 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.306 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.425 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:27.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.025 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.146 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.265 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.385 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.505 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.625 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.746 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:28.985 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.105 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.225 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.345 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.465 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.586 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.705 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.825 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:29.945 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.065 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.185 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.305 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.425 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.545 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.665 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.785 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:30.905 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.025 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.145 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.266 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.386 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.505 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.625 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.745 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.865 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:31.985 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.105 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.225 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.345 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.465 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.585 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.705 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.825 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:32.945 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.065 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.185 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.305 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.425 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.546 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.666 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.786 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:33.906 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.026 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.146 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.266 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.386 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.505 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.625 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.746 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.866 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:34.986 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:35.106 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:35.226 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:35.350 > �b�
