17:40:18.757 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:28.236 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:40:28.356 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:28.476 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:28.596 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:40:28.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:28.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:28.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.076 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.317 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.437 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.557 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:29.916 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.036 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.157 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.277 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.396 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.516 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.636 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.756 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:30.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.116 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.236 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.356 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:31.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.076 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.556 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.676 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.796 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:32.916 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.036 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.156 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.276 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.396 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.516 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.636 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.756 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:33.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.116 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.236 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.356 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:34.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.076 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.196 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.316 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.436 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.556 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.676 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.796 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:35.916 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.156 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.276 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.396 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.516 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.636 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.756 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.876 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:36.996 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.116 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.236 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.356 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:37.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.076 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.556 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:38.916 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.156 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.276 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.396 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.516 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.636 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.756 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:39.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.116 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.236 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.356 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.596 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.716 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:40.956 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.076 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.316 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.436 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.556 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.676 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.796 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:41.916 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.156 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.276 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.396 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.516 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.636 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.756 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:42.995 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.116 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.236 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.356 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.476 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.596 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.716 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.836 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:43.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.076 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.196 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.316 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.436 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.556 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.676 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.796 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:44.916 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.036 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.156 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.276 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.396 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.516 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.636 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.756 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.876 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:45.996 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.116 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.236 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.356 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.476 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.596 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.716 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.835 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:46.956 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.076 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.556 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:47.916 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.156 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.276 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.396 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.516 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.636 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.756 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.876 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:48.995 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.116 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.236 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.356 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.476 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.595 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:49.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.436 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.556 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.676 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.795 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:50.916 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.036 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.156 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.275 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.395 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.515 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.636 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:51.995 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.115 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.235 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.356 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.476 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.595 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.715 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.835 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:52.956 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.076 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.195 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.316 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.556 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.676 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.795 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:53.916 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.156 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.275 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.395 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.515 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.636 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.756 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.876 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:54.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:55.116 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:55.236 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:55.356 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:55.476 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:55.595 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:55.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:55.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:55.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.075 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.195 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.316 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.436 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.555 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.675 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.795 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:56.915 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.035 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.516 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.635 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.755 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:57.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.235 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:58.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:59.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:00.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:01.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:02.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
