17:47:43.005 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:46.965 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:47.085 > Stop |  | servo turn 0 degree | gripper off
17:47:47.205 > Stop |  | servo turn 0 degree | gripper off
17:47:47.325 > Stop |  | servo turn 0 degree | gripper off
17:47:47.445 > Stop |  | servo turn 0 degree | gripper off
17:47:47.565 > Stop |  | servo turn 0 degree | gripper off
17:47:47.685 > Stop |  | servo turn 0 degree | gripper off
17:47:47.805 > Stop |  | servo turn 0 degree | gripper off
17:47:47.924 > Stop |  | servo turn 0 degree | gripper off
17:47:48.045 > Stop |  | servo turn 0 degree | gripper off
17:47:48.165 > Stop |  | servo turn 0 degree | gripper off
17:47:48.285 > Stop |  | servo turn 0 degree | gripper off
17:47:48.405 > Stop |  | servo turn 0 degree | gripper off
17:47:48.525 > Stop |  | servo turn 0 degree | gripper off
17:47:48.645 > Stop |  | servo turn 0 degree | gripper off
17:47:48.765 > Stop |  | servo turn 0 degree | gripper off
17:47:48.885 > Stop |  | servo turn 0 degree | gripper off
17:47:49.005 > Stop |  | servo turn 0 degree | gripper off
17:47:49.124 > Stop |  | servo turn 0 degree | gripper off
17:47:49.245 > Stop |  | servo turn 0 degree | gripper off
17:47:49.365 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:49.485 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:49.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:49.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:49.845 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:49.969 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.205 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.325 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.445 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.685 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.805 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:50.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.405 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.645 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.765 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:51.885 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.005 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.245 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.365 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.485 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:52.966 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.086 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.206 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.325 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.446 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.566 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.686 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.806 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:53.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.765 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:54.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:55.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:55.125 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.245 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.365 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.485 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.606 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.725 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.846 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:55.965 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:56.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.565 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.685 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:56.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.405 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.645 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.765 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:57.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.004 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.124 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.244 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.364 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.485 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.604 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.724 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.844 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:58.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.684 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.804 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:59.924 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.045 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.164 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.284 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.404 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.524 > backward | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:00.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:01.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.684 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:02.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.524 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.644 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.764 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:03.884 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.010 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.124 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.244 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.844 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:04.964 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.084 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.204 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.324 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.444 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.564 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.684 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.804 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:05.924 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.044 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.164 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.284 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.644 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.764 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:06.884 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.004 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.124 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.244 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.364 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.724 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.844 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:07.964 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.084 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.204 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.324 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.444 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.564 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.684 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.804 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:08.924 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.044 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.164 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.284 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.404 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.524 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.644 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.764 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:09.884 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.004 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.124 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.244 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.364 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.484 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.604 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.724 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.844 > Right | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:10.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.684 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:11.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:12.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:13.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.684 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:14.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:15.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:16.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.684 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:17.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:18.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:19.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.684 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:20.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.523 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.644 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:21.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.483 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.723 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.843 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:22.963 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.084 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.443 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.684 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.803 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:23.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.044 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.164 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.284 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.404 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.524 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.643 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.764 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:24.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.003 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.123 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.243 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.603 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:25.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.083 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.683 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.803 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:26.923 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.043 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.163 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.283 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.403 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.523 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.643 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.763 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:27.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
