17:45:32.449 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.888 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.128 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.248 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.368 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.488 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.608 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.728 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.849 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:37.968 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.088 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.208 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.328 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.448 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.568 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.688 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.808 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:38.928 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.048 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.168 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.408 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.528 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.648 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.768 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:39.888 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.008 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.128 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.248 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.368 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.488 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.608 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.728 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.848 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:40.968 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.088 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.208 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.328 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.448 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.568 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.688 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.808 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:41.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.169 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.289 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.409 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.529 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.649 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.769 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:42.889 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:43.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:43.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:43.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:43.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:43.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:43.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:43.729 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:43.849 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:43.969 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:44.089 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:44.209 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:44.329 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:44.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:44.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:44.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:44.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:44.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:45.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:45.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:45.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:45.408 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:45.528 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:45.649 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:45.768 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:45.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:46.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:46.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:46.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:46.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:46.489 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:46.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:46.729 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:46.848 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:46.968 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.089 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.328 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.447 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:47.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:47.929 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.049 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.169 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.408 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.528 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:48.648 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:48.768 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:48.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:49.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:49.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:49.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:49.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:49.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:49.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:49.728 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:49.848 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:49.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:50.088 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:50.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:50.328 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:50.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:50.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:50.688 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:50.808 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:50.928 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:51.048 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:51.168 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:51.288 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:51.408 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:51.528 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:51.648 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:51.768 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:51.888 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:52.008 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:52.128 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:52.248 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:52.368 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:52.488 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:52.608 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:52.728 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:52.848 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:52.968 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:53.088 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:53.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:53.328 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:53.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:53.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:53.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:53.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:53.928 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.048 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.168 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.288 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.408 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.528 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.648 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.768 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:54.888 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:55.008 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:55.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:55.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:55.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:55.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:55.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:55.728 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:55.848 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:55.968 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:56.088 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:56.208 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:56.328 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:56.448 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:56.568 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:56.688 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:56.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:56.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:57.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:57.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:57.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:57.408 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:57.528 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:57.648 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:57.768 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:57.888 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:58.008 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:58.128 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:58.248 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:58.368 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:45:58.488 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:58.608 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:45:58.728 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:58.848 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:58.968 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:59.088 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:59.208 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:59.328 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:45:59.448 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:45:59.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:45:59.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:59.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:59.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:00.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:00.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:00.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:00.408 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:00.528 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:00.648 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:00.768 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:46:00.888 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:01.008 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:01.128 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:01.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:01.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:01.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:01.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:01.728 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:01.848 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:01.968 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:02.088 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:46:02.208 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:46:02.328 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:02.448 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:02.568 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:02.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:02.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:02.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:03.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:03.168 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:03.288 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:46:03.408 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:46:03.528 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:46:03.648 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:03.768 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:03.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:04.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:04.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:04.248 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:04.368 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:04.488 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:04.608 > Stop | servo y-axis (up) | servo turn 180 degree | gripper off
17:46:04.727 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:04.848 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:04.968 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.088 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:05.328 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:05.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:05.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:06.048 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:46:06.168 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:06.288 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:46:06.408 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:06.527 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:06.648 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
17:46:06.768 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:46:06.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:07.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:07.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.728 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:07.848 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:07.968 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.087 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.328 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:08.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:08.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.808 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:08.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:09.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:09.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:09.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:09.408 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:09.527 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:09.648 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:09.768 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:09.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.008 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:10.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:10.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:10.607 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.728 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.848 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:10.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:11.087 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:11.208 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:11.327 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:11.448 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:11.568 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:11.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:11.807 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:11.927 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:12.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.288 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.408 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:12.527 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.648 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.768 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:12.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.007 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.128 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:13.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.368 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.487 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.607 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:13.727 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:13.848 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:13.968 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.088 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.207 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.327 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.448 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:14.568 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.687 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:14.807 > Stop |  | servo turn 0 degree | gripper on
17:46:14.927 > Stop |  | servo turn 0 degree | gripper off
17:46:15.047 > Stop |  | servo turn 0 degree | gripper off
17:46:15.167 > Stop |  | servo turn 0 degree | gripper off
17:46:15.288 > Stop |  | servo turn 0 degree | gripper on
17:46:15.407 > Stop |  | servo turn 0 degree | gripper on
17:46:15.527 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:15.647 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:15.767 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:15.888 > Stop |  | servo turn 0 degree | gripper on
17:46:16.007 > Stop |  | servo turn 0 degree | gripper on
17:46:16.127 > Stop |  | servo turn 0 degree | gripper on
17:46:16.248 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:16.367 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:46:16.487 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:46:16.607 > Stop |  | servo turn 0 degree | gripper on
17:46:16.727 > Stop |  | servo turn 0 degree | gripper on
17:46:16.847 > Stop |  | servo turn 0 degree | gripper off
