17:43:36.332 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:39.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:39.811 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:39.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:40.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:40.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:40.291 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:40.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:40.532 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:40.652 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:40.772 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:40.892 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:41.012 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:41.132 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:41.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:41.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:41.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:41.611 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:41.731 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:41.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:41.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.092 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.212 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.332 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.452 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.572 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.692 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.812 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:42.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:43.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.291 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.531 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:43.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.012 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.137 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.252 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.372 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.492 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.612 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.732 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:44.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.811 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:45.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:46.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.172 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.292 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.412 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.532 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.652 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.772 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:46.892 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:47.014 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:47.132 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:47.252 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:47.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:47.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:47.611 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:47.731 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:47.850 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:47.970 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:48.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:48.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:48.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:48.451 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:48.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:48.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:48.811 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:48.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:49.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.291 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.531 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:49.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:50.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.611 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.731 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:50.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:51.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.451 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.691 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.811 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:51.931 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:52.051 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:52.171 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:52.291 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:52.411 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:52.531 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:52.651 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:52.771 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:52.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:53.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:53.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:53.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:53.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:53.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:53.611 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:53.731 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:53.851 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:53.971 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.091 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.211 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.331 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.451 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.571 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.811 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:54.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:55.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.291 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.531 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:55.771 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:55.891 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.011 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.131 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.251 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.371 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.491 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.611 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.731 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:56.977 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.451 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:57.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:57.811 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:57.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:58.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:58.171 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:58.291 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:58.411 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:58.531 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:58.651 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:58.771 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:58.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.371 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:59.491 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.611 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:59.731 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.851 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:59.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:00.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:00.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:00.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:00.451 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:00.571 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:00.691 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:00.811 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:00.931 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.051 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.171 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.291 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:01.531 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:01.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.371 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.491 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.611 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.731 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:02.851 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:02.971 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.091 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.211 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.331 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:03.451 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:03.571 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.691 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.811 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:03.931 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:04.050 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:04.171 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:04.291 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:04.411 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:04.531 > Stop | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:04.651 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:04.771 > backward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:04.891 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.011 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.131 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:05.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.611 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.731 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:05.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:05.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.451 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:06.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:06.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:06.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.290 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:07.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.531 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:07.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:07.891 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:08.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:08.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:08.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:08.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:08.491 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:08.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:08.730 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:08.850 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:08.970 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:09.091 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:09.211 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:09.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:09.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:09.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:09.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:09.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:09.930 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:10.050 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:10.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:10.290 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:10.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:10.530 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:10.651 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:10.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:10.890 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:11.015 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:11.130 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:11.250 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:11.370 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:11.490 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:11.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:11.731 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:11.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:11.971 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.090 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.210 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.330 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:12.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:12.570 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:12.931 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.051 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.171 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.291 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:13.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:13.530 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.650 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.770 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:13.890 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.250 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:14.370 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:14.490 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.730 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:14.851 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:14.979 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:15.095 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:15.210 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.330 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.570 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:15.930 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.050 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.170 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:16.290 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.530 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.650 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:16.770 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:16.890 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:17.010 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.130 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.250 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.371 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.490 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.730 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.850 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:17.970 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.090 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.210 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.330 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.570 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:18.930 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.050 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.170 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.290 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:19.530 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.650 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.770 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:19.890 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.010 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.130 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.250 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.370 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.490 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.730 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:20.850 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:20.970 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.090 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.210 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.330 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
