23:34:51.749 > Stop |  | servo turn 90 degree | gripper off
23:34:55.896 > Stop |  | servo turn 90 degree | gripper off
23:34:56.021 > Stop |  | servo turn 90 degree | gripper off
23:34:56.147 > Stop |  | servo turn 90 degree | gripper off
23:34:56.273 > Stop |  | servo turn 90 degree | gripper off
23:34:56.399 > Stop |  | servo turn 90 degree | gripper off
23:34:56.524 > Stop |  | servo turn 90 degree | gripper off
23:34:56.650 > Stop |  | servo turn 90 degree | gripper off
23:34:56.776 > Stop |  | servo turn 90 degree | gripper off
23:34:56.901 > Stop |  | servo turn 90 degree | gripper off
23:34:57.027 > Stop |  | servo turn 90 degree | gripper off
23:34:57.153 > Stop |  | servo turn 90 degree | gripper off
23:34:57.278 > Stop |  | servo turn 90 degree | gripper off
23:34:57.404 > Stop |  | servo turn 90 degree | gripper off
23:34:57.530 > Stop |  | servo turn 90 degree | gripper off
23:34:57.655 > Stop |  | servo turn 90 degree | gripper off
23:34:57.781 > Stop |  | servo turn 90 degree | gripper off
23:34:57.907 > Stop |  | servo turn 90 degree | gripper off
23:34:58.032 > Stop |  | servo turn 90 degree | gripper off
23:34:58.158 > Stop |  | servo turn 90 degree | gripper off
23:34:58.284 > Stop |  | servo turn 90 degree | gripper off
23:34:58.409 > Stop |  | servo turn 90 degree | gripper off
23:34:58.535 > Stop |  | servo turn 90 degree | gripper off
23:34:58.661 > Stop |  | servo turn 90 degree | gripper off
23:34:58.786 > Stop |  | servo turn 90 degree | gripper off
23:34:58.912 > Stop |  | servo turn 90 degree | gripper off
23:34:59.038 > Stop |  | servo turn 90 degree | gripper off
23:34:59.163 > Stop |  | servo turn 90 degree | gripper off
23:34:59.289 > Stop |  | servo turn 90 degree | gripper off
23:34:59.414 > Stop |  | servo turn 90 degree | gripper off
23:34:59.540 > Stop |  | servo turn 90 degree | gripper off
23:34:59.666 > Stop |  | servo turn 90 degree | gripper off
23:34:59.791 > Stop |  | servo turn 90 degree | gripper off
23:34:59.917 > Stop |  | servo turn 90 degree | gripper off
23:35:00.043 > Stop |  | servo turn 90 degree | gripper off
23:35:00.169 > Stop |  | servo turn 90 degree | gripper off
23:35:00.295 > Stop |  | servo turn 90 degree | gripper off
23:35:00.420 > Stop |  | servo turn 90 degree | gripper off
23:35:00.546 > Stop |  | servo turn 90 degree | gripper off
23:35:00.672 > Stop |  | servo turn 90 degree | gripper off
23:35:00.797 > Stop |  | servo turn 90 degree | gripper off
23:35:00.923 > Stop |  | servo turn 90 degree | gripper off
23:35:01.048 > Stop |  | servo turn 90 degree | gripper off
23:35:01.174 > Stop |  | servo turn 90 degree | gripper off
23:35:01.300 > Stop |  | servo turn 90 degree | gripper off
23:35:01.425 > Stop |  | servo turn 90 degree | gripper off
23:35:01.551 > Stop |  | servo turn 90 degree | gripper off
23:35:01.677 > Stop |  | servo turn 90 degree | gripper off
23:35:01.802 > Stop |  | servo turn 90 degree | gripper off
23:35:01.928 > Stop |  | servo turn 90 degree | gripper off
23:35:02.054 > Stop |  | servo turn 90 degree | gripper off
23:35:02.179 > Stop |  | servo turn 90 degree | gripper off
23:35:02.305 > Stop |  | servo turn 90 degree | gripper off
23:35:02.431 > Stop |  | servo turn 90 degree | gripper off
23:35:02.556 > Stop |  | servo turn 90 degree | gripper off
23:35:02.682 > Stop |  | servo turn 90 degree | gripper off
23:35:02.808 > Stop |  | servo turn 90 degree | gripper off
23:35:02.934 > Stop |  | servo turn 90 degree | gripper off
23:35:03.059 > Stop |  | servo turn 90 degree | gripper off
23:35:03.185 > Stop |  | servo turn 90 degree | gripper off
23:35:03.311 > Stop |  | servo turn 90 degree | gripper off
23:35:03.436 > Stop |  | servo turn 90 degree | gripper off
23:35:03.562 > Stop |  | servo turn 90 degree | gripper off
23:35:03.688 > Stop |  | servo turn 90 degree | gripper off
23:35:03.813 > Stop |  | servo turn 90 degree | gripper off
23:35:03.939 > Stop |  | servo turn 90 degree | gripper off
23:35:04.065 > Stop |  | servo turn 90 degree | gripper off
23:35:04.190 > Stop |  | servo turn 90 degree | gripper off
23:35:04.316 > Stop |  | servo turn 90 degree | gripper off
23:35:04.442 > Stop |  | servo turn 90 degree | gripper off
23:35:04.567 > Stop |  | servo turn 90 degree | gripper off
23:35:04.693 > Stop |  | servo turn 90 degree | gripper off
23:35:04.818 > Stop |  | servo turn 90 degree | gripper off
23:35:04.944 > Stop |  | servo turn 90 degree | gripper off
23:35:05.070 > Stop |  | servo turn 90 degree | gripper off
23:35:05.196 > Stop |  | servo turn 90 degree | gripper off
23:35:05.321 > Stop |  | servo turn 90 degree | gripper off
23:35:05.447 > Stop |  | servo turn 90 degree | gripper off
23:35:05.573 > Stop |  | servo turn 90 degree | gripper off
23:35:05.699 > Stop |  | servo turn 90 degree | gripper off
23:35:05.824 > Stop |  | servo turn 90 degree | gripper off
23:35:05.950 > Stop |  | servo turn 90 degree | gripper off
23:35:06.075 > Stop |  | servo turn 90 degree | gripper off
23:35:06.201 > Stop |  | servo turn 90 degree | gripper off
23:35:06.327 > Stop |  | servo turn 90 degree | gripper off
23:35:06.452 > Stop |  | servo turn 90 degree | gripper off
23:35:06.578 > Stop |  | servo turn 90 degree | gripper off
23:35:06.704 > Stop |  | servo turn 90 degree | gripper off
23:35:06.829 > Stop |  | servo turn 90 degree | gripper off
23:35:06.955 > Stop |  | servo turn 90 degree | gripper off
23:35:07.081 > Stop |  | servo turn 90 degree | gripper off
23:35:07.207 > Stop |  | servo turn 90 degree | gripper off
23:35:07.332 > Stop |  | servo turn 90 degree | gripper off
23:35:07.458 > Stop |  | servo turn 90 degree | gripper off
23:35:07.585 > Stop |  | servo turn 90 degree | gripper off
23:35:07.709 > Stop |  | servo turn 90 degree | gripper off
23:35:07.835 > Stop |  | servo turn 90 degree | gripper off
23:35:07.961 > Stop |  | servo turn 90 degree | gripper off
23:35:08.086 > Stop |  | servo turn 90 degree | gripper off
23:35:08.212 > Stop |  | servo turn 90 degree | gripper off
23:35:08.337 > Stop |  | servo turn 90 degree | gripper off
23:35:08.463 > Stop |  | servo turn 90 degree | gripper off
23:35:08.589 > Stop |  | servo turn 90 degree | gripper off
23:35:08.715 > Stop |  | servo turn 90 degree | gripper off
23:35:08.840 > Stop |  | servo turn 90 degree | gripper off
23:35:08.966 > Stop |  | servo turn 90 degree | gripper off
23:35:09.092 > Stop |  | servo turn 90 degree | gripper off
23:35:09.217 > Stop |  | servo turn 90 degree | gripper off
23:35:09.343 > Stop |  | servo turn 90 degree | gripper off
23:35:09.469 > Stop |  | servo turn 90 degree | gripper off
23:35:09.594 > Stop |  | servo turn 90 degree | gripper off
23:35:09.720 > Stop |  | servo turn 90 degree | gripper off
23:35:09.845 > Stop |  | servo turn 90 degree | gripper off
23:35:09.971 > Stop |  | servo turn 90 degree | gripper off
23:35:10.097 > Stop |  | servo turn 90 degree | gripper off
23:35:10.223 > Stop |  | servo turn 90 degree | gripper off
23:35:10.348 > Stop |  | servo turn 90 degree | gripper off
23:35:10.474 > Stop |  | servo turn 90 degree | gripper off
23:35:10.600 > Stop |  | servo turn 90 degree | gripper off
23:35:10.725 > Stop |  | servo turn 90 degree | gripper off
23:35:10.851 > Stop |  | servo turn 90 degree | gripper off
23:35:10.977 > Stop |  | servo turn 90 degree | gripper off
23:35:11.102 > Stop |  | servo turn 90 degree | gripper off
23:35:11.228 > Stop |  | servo turn 90 degree | gripper off
23:35:11.354 > Stop |  | servo turn 90 degree | gripper off
23:35:11.479 > Stop |  | servo turn 90 degree | gripper off
23:35:11.605 > Stop |  | servo turn 90 degree | gripper off
23:35:11.731 > Stop |  | servo turn 90 degree | gripper off
23:35:11.856 > Stop |  | servo turn 90 degree | gripper off
23:35:11.982 > Stop |  | servo turn 90 degree | gripper off
23:35:12.108 > Stop |  | servo turn 90 degree | gripper off
23:35:12.233 > Stop |  | servo turn 90 degree | gripper off
23:35:12.359 > Stop |  | servo turn 90 degree | gripper off
23:35:12.485 > Stop |  | servo turn 90 degree | gripper off
23:35:12.611 > Stop |  | servo turn 90 degree | gripper off
23:35:12.736 > Stop |  | servo turn 90 degree | gripper off
23:35:12.862 > Stop |  | servo turn 90 degree | gripper off
23:35:12.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.332 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.452 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.572 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.692 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:13.812 > Stop |  | servo turn 0 degree | gripper on
23:35:13.932 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:14.052 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:14.172 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:14.292 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:14.412 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:14.532 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:14.652 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:14.772 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:14.892 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.012 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.132 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.252 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.372 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.492 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.612 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.732 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:15.852 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:15.972 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.092 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.212 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.332 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.452 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.572 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.692 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.812 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:16.932 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:17.052 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:17.172 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:17.292 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:17.412 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:17.532 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:17.652 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:17.772 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:17.892 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.012 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.132 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.252 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.372 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.492 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.612 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.732 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.853 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:18.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:19.092 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.212 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.332 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.452 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.572 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.692 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.812 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:19.932 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.052 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.172 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.292 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.412 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.532 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.652 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.772 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:20.892 > Stop | servo y-axis (down) | servo turn 0 degree | gripper on
23:35:21.012 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.132 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.252 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.372 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.492 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.612 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.732 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.852 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:21.972 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.092 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.212 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.332 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.452 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.572 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.692 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.812 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:22.932 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.052 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.172 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.292 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.412 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.532 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.652 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.772 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:23.892 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.012 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.132 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.252 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.372 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.492 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.612 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.732 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.852 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:24.972 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.332 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.452 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.572 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.692 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.812 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:25.932 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.052 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.172 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.292 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.412 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.532 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.652 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.772 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:26.892 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.012 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.132 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.252 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.372 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.492 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.612 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.732 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.852 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:27.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.332 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.452 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.572 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.692 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.812 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:28.932 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.052 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.172 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.292 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.412 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.532 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.652 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.772 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:29.892 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.012 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.132 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.252 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.372 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.492 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.612 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.732 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.852 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:30.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.332 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.452 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.572 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.692 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.812 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:31.932 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.052 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.172 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.292 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.412 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.532 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.651 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.772 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:32.892 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.012 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.132 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.252 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.372 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.492 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.612 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.732 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.852 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:33.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.332 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.452 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.572 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.692 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:34.812 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:34.932 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.052 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.172 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.292 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.412 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.532 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.651 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.772 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:35.892 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.012 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.132 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.252 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.372 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.492 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.612 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:36.732 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:36.852 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:36.972 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:37.092 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:37.212 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:37.332 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:37.452 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
23:35:37.572 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:37.692 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:37.812 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:37.931 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.052 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.172 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.291 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.411 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.531 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
23:35:38.652 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:38.772 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:38.892 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.012 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.131 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.252 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.371 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.492 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.612 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.731 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.851 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:39.972 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.091 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.211 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.332 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.451 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.572 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.691 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.811 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:40.931 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:35:41.051 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
